Year,Age,Country,mx,logmx,Sex,Country_fact,Sex_fact,mx_scale,mx_deep_reg,mx_deep_reg_full
2016,45,GBRTENW,0.002059,-6.18553485093648,Male,17,1,0.417288296166917,0.00264283122824815,0.00264283122824815
2016,46,GBRTENW,0.002313,-6.06920989573284,Male,17,1,0.426223187753122,0.00275871699301862,0.00275871699301862
2016,47,GBRTENW,0.002671,-5.92530234485431,Male,17,1,0.43727669182097,0.00293773672093366,0.00293773672093366
2016,48,GBRTENW,0.002784,-5.88386653650996,Male,17,1,0.440459366206663,0.00333099720990703,0.00333099720990703
2016,49,GBRTENW,0.002949,-5.826289149149,Male,17,1,0.44488187136032,0.00361501168666559,0.00361501168666559
2016,50,GBRTENW,0.003299,-5.71413588673569,Male,17,1,0.453496336235442,0.0038439908615595,0.0038439908615595
2016,51,GBRTENW,0.003425,-5.67665380726795,Male,17,1,0.456375325665385,0.00433454681571577,0.00433454681571577
2016,52,GBRTENW,0.003707,-5.59753235481354,Male,17,1,0.462452625231806,0.00441926805810038,0.00441926805810038
2016,53,GBRTENW,0.003961,-5.53125876034236,Male,17,1,0.467543083943709,0.00473682480345119,0.00473682480345119
2016,54,GBRTENW,0.004199,-5.47290887728008,Male,17,1,0.47202492430476,0.00511859951621141,0.00511859951621141
2016,55,GBRTENW,0.005022,-5.29392701824674,Male,17,1,0.485772477472182,0.00529803814911327,0.00529803814911327
2016,56,GBRTENW,0.005324,-5.23553037844927,Male,17,1,0.490257909206719,0.00582552769220622,0.00582552769220622
2016,57,GBRTENW,0.005445,-5.21305752259721,Male,17,1,0.491984043812307,0.00636717031015907,0.00636717031015907
2016,58,GBRTENW,0.006273,-5.07150056986753,Male,17,1,0.50285699900665,0.00667233512273474,0.00667233512273474
2016,59,GBRTENW,0.006966,-4.96671410703833,Male,17,1,0.510905621793065,0.0071025763063585,0.0071025763063585
2016,60,GBRTENW,0.007807,-4.85273451184398,Male,17,1,0.51966036684599,0.0071469561931496,0.0071469561931496
2016,61,GBRTENW,0.00855,-4.76182399603347,Male,17,1,0.526643181508509,0.0083960847560528,0.0083960847560528
2016,62,GBRTENW,0.00928,-4.67989373218403,Male,17,1,0.532936225196704,0.00861481854034925,0.00861481854034925
2016,63,GBRTENW,0.010424,-4.56364443915959,Male,17,1,0.54186530518928,0.00925359323755972,0.00925359323755972
2016,64,GBRTENW,0.011172,-4.49434463089921,Male,17,1,0.547188206648106,0.00977763194735595,0.00977763194735595
2016,65,GBRTENW,0.01223,-4.40386332928306,Male,17,1,0.554138053472492,0.0112115008992054,0.0112115008992054
2016,66,GBRTENW,0.013282,-4.32134554386362,Male,17,1,0.560476224549933,0.0119252408324358,0.0119252408324358
2016,67,GBRTENW,0.01409,-4.26228995307155,Male,17,1,0.565012270150489,0.0130416122297735,0.0130416122297735
2016,68,GBRTENW,0.015831,-4.1457852358905,Male,17,1,0.573960969210563,0.013698734541081,0.013698734541081
2016,69,GBRTENW,0.01713,-4.06692396664611,Male,17,1,0.58001828416775,0.0147132743983355,0.0147132743983355
2016,70,GBRTENW,0.018552,-3.98717767902891,Male,17,1,0.586143577171427,0.0160379392342698,0.0160379392342698
2016,71,GBRTENW,0.021299,-3.84909515572567,Male,17,1,0.596749662284496,0.0166874198203423,0.0166874198203423
2016,72,GBRTENW,0.023453,-3.7527568605027,Male,17,1,0.604149383366788,0.0180323018068291,0.0180323018068291
2016,73,GBRTENW,0.025328,-3.67584477584348,Male,17,1,0.610056981928902,0.0208648307600152,0.0208648307600152
2016,74,GBRTENW,0.028769,-3.54845686045169,Male,17,1,0.619841616803041,0.021925664332036,0.021925664332036
2016,75,GBRTENW,0.032519,-3.42593074508283,Male,17,1,0.629252817996997,0.0240569799961819,0.0240569799961819
2016,76,GBRTENW,0.035834,-3.32885811560443,Male,17,1,0.636708943115282,0.0258375173902722,0.0258375173902722
2016,77,GBRTENW,0.040395,-3.20904926405047,Male,17,1,0.645911431934885,0.0284672947044775,0.0284672947044775
2016,78,GBRTENW,0.044835,-3.10476619457813,Male,17,1,0.653921389199693,0.0308558148116384,0.0308558148116384
2016,79,GBRTENW,0.049433,-3.00713706161743,Male,17,1,0.661420259215433,0.0343231238257807,0.0343231238257807
2016,80,GBRTENW,0.054978,-2.90082217377101,Male,17,1,0.669586279956591,0.0423394686741656,0.0423394686741656
2016,81,GBRTENW,0.062262,-2.77640399113094,Male,17,1,0.679142810378592,0.0529029509558967,0.0529029509558967
2016,82,GBRTENW,0.069649,-2.66428693636119,Male,17,1,0.687754494153398,0.0674433310573353,0.0674433310573353
2016,83,GBRTENW,0.079645,-2.53017601923554,Male,17,1,0.698055521159566,0.082605931706707,0.082605931706707
